Bat,Tree,X,Y,Date,daynum,ReproByBat,Age,Sex,Year
72400,18R1,682820.1144,4515778.49,5/20/2018,140,p,adult,f,2018
72401,18R2,683615.6146,4515663.771,5/20/2018,140,p,adult,f,2018
72401,18R3,683550.7197,4515590.289,5/21/2018,141,p,adult,f,2018
72402,18R4,682881.7306,4515267.135,5/22/2018,142,u,adult,f,2018
72405,18R4,682881.7306,4515267.135,5/22/2018,142,u,adult,f,2018
72402,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
72405,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT1,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT2,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT3,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT4,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT5,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT6,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT7,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
UNKBAT8,18R4,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
72405,18R4,682881.7306,4515267.135,5/25/2018,145,u,adult,f,2018
UNKBAT1,18R4,682881.7306,4515267.135,6/12/2018,163,u,adult,f,2018
UNKBAT2,18R4,682881.7306,4515267.135,6/12/2018,163,u,adult,f,2018
UNKBAT3,18R4,682881.7306,4515267.135,6/12/2018,163,u,adult,f,2018
UNKBAT4,18R4,682881.7306,4515267.135,6/12/2018,163,u,adult,f,2018
UNKBAT5,18R4,682881.7306,4515267.135,6/12/2018,163,u,adult,f,2018
UNKBAT6,18R4,682881.7306,4515267.135,6/12/2018,163,u,adult,f,2018
UNKBAT7,18R4,682881.7306,4515267.135,6/12/2018,163,u,adult,f,2018
72401,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72402,18R4,682881.7306,4515267.135,6/13/2018,164,u,adult,f,2018
72403,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72406,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72407,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72408,18R4,682881.7306,4515267.135,6/13/2018,164,u,adult,f,2018
72409,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72410,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72411,18R4,682881.7306,4515267.135,6/13/2018,164,u,adult,f,2018
72412,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
UKNBAT1,18R4,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72402,18R4,682881.7306,4515267.135,6/14/2018,165,u,adult,f,2018
72410,18R4,682881.7306,4515267.135,6/14/2018,165,p,adult,f,2018
UKNBAT1,18R5,683066.6131,4515785.805,5/24/2018,144,u,adult,f,2018
UKNBAT2,18R5,683066.6131,4515785.805,5/24/2018,144,u,adult,f,2018
UKNBAT3,18R5,683066.6131,4515785.805,5/24/2018,144,u,adult,f,2018
72402,18R5,683066.6131,4515785.805,5/24/2018,144,u,adult,f,2018
72402,18R5,683066.6131,4515785.805,5/25/2018,145,u,adult,f,2018
72405,18R6,683091.7676,4516069.583,5/24/2018,144,u,adult,f,2018
UNKBAT4,18R6,683091.7676,4516069.583,5/24/2018,144,u,adult,f,2018
