Bat,Tree,X,Y,Date,daynum,ReproByBat,Age,Sex,Year
72400,18R1,682820.114443,4515778.490058,5/20/2018,140,p,adult,f,2018
72401,18R2,683615.614633,4515663.771140,5/20/2018,140,p,adult,f,2018
72401,18R3,683550.719702,4515590.289236,5/21/2018,141,p,adult,f,2018
72401,18R4,682881.730620,4515267.134642,6/13/2018,164,p,adult,f,2018
72402,18R4,682881.730620,4515267.134642,5/22/2018,142,u,adult,f,2018
72402,18R4,682881.730620,4515267.134642,5/23/2018,143,u,adult,f,2018
72402,18R4,682881.730620,4515267.134642,6/14/2018,165,u,adult,f,2018
72402,18R4,682881.730620,4515267.134642,6/13/2018,164,u,adult,f,2018
72403,18R4,682881.730620,4515267.134642,6/13/2018,164,p,adult,f,2018
72405,18R4,682881.730620,4515267.134642,5/22/2018,142,u,adult,f,2018
72405,18R4,682881.730620,4515267.134642,5/23/2018,143,u,adult,f,2018
72405,18R4,682881.730620,4515267.134642,5/25/2018,145,u,adult,f,2018
72406,18R4,682881.730620,4515267.134642,6/13/2018,164,p,adult,f,2018
72407,18R4,682881.730620,4515267.134642,6/13/2018,164,p,adult,f,2018
72408,18R4,682881.730620,4515267.134642,6/13/2018,164,u,adult,f,2018
72409,18R4,682881.730620,4515267.134642,6/13/2018,164,p,adult,f,2018
72410,18R4,682881.730620,4515267.134642,6/14/2018,165,p,adult,f,2018
72410,18R4,682881.730620,4515267.134642,6/13/2018,164,p,adult,f,2018
72411,18R4,682881.730620,4515267.134642,6/13/2018,164,u,adult,f,2018
72412,18R4,682881.730620,4515267.134642,6/13/2018,164,p,adult,f,2018
72402,18R5,683066.613141,4515785.805446,5/24/2018,144,u,adult,f,2018
72402,18R5,683066.613141,4515785.805446,5/25/2018,145,u,adult,f,2018
72405,18R6,683091.767626,4516069.583150,5/24/2018,144,u,adult,f,2018
72406,18R6,683091.767626,4516069.583150,6/17/2018,168,p,adult,f,2018
72407,18R6,683091.767626,4516069.583150,6/16/2018,167,p,adult,f,2018
72407,18R6,683091.767626,4516069.583150,6/17/2018,168,p,adult,f,2018
72408,18R6,683091.767626,4516069.583150,6/15/2018,166,u,adult,f,2018
72408,18R6,683091.767626,4516069.583150,6/17/2018,168,u,adult,f,2018
72408,18R6,683091.767626,4516069.583150,6/18/2018,169,u,adult,f,2018
72409,18R6,683091.767626,4516069.583150,6/15/2018,166,p,adult,f,2018
72409,18R6,683091.767626,4516069.583150,6/16/2018,167,p,adult,f,2018
72409,18R6,683091.767626,4516069.583150,6/19/2018,170,p,adult,f,2018
72411,18R6,683091.767626,4516069.583150,6/15/2018,166,u,adult,f,2018
72411,18R6,683091.767626,4516069.583150,6/16/2018,167,u,adult,f,2018
72411,18R6,683091.767626,4516069.583150,7/2/2019,183,l,adult,f,2019
72408,18R7,682918.382180,4515694.383260,6/14/2018,165,u,adult,f,2018
72400,18R8,682979.254360,4515637.013105,6/16/2018,167,p,adult,f,2018
72402,18R8,682979.254360,4515637.013105,6/15/2018,166,u,adult,f,2018
72406,18R8,682979.254360,4515637.013105,6/16/2018,167,p,adult,f,2018
72406,18R8,682979.254360,4515637.013105,6/16/2018,167,p,adult,f,2018
72408,18R8,682979.254360,4515637.013105,6/16/2018,167,u,adult,f,2018
72413,18R8,682979.254360,4515637.013105,6/16/2018,167,u,adult,f,2018
RRR034,18R8,682979.254360,4515637.013105,6/16/2018,167,u,adult,f,2018
