Bat,Tree,X,Y,Date,daynum,ReproByBat,Age,Sex,Year
72400,1801,682820.1144,4515778.49,5/20/2018,140,p,adult,f,2018
72401,1802,683615.6146,4515663.771,5/20/2018,140,p,adult,f,2018
72401,1803,683550.7197,4515590.289,5/21/2018,141,p,adult,f,2018
72401,1804,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72402,1804,682881.7306,4515267.135,5/22/2018,142,u,adult,f,2018
72402,1804,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
72402,1804,682881.7306,4515267.135,6/14/2018,165,u,adult,f,2018
72402,1804,682881.7306,4515267.135,6/13/2018,164,u,adult,f,2018
72403,1804,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72405,1804,682881.7306,4515267.135,5/22/2018,142,u,adult,f,2018
72405,1804,682881.7306,4515267.135,5/23/2018,143,u,adult,f,2018
72405,1804,682881.7306,4515267.135,5/25/2018,145,u,adult,f,2018
72406,1804,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72407,1804,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72408,1804,682881.7306,4515267.135,6/13/2018,164,u,adult,f,2018
72409,1804,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72410,1804,682881.7306,4515267.135,6/14/2018,165,p,adult,f,2018
72410,1804,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72411,1804,682881.7306,4515267.135,6/13/2018,164,u,adult,f,2018
72412,1804,682881.7306,4515267.135,6/13/2018,164,p,adult,f,2018
72402,1805,683066.6131,4515785.805,5/24/2018,144,u,adult,f,2018
72402,1805,683066.6131,4515785.805,5/25/2018,145,u,adult,f,2018
72405,1806,683091.7676,4516069.583,5/24/2018,144,u,adult,f,2018
72406,1806,683091.7676,4516069.583,6/17/2018,168,p,adult,f,2018
72407,1806,683091.7676,4516069.583,6/16/2018,167,p,adult,f,2018
72407,1806,683091.7676,4516069.583,6/17/2018,168,p,adult,f,2018
72408,1806,683091.7676,4516069.583,6/15/2018,166,u,adult,f,2018
72408,1806,683091.7676,4516069.583,6/17/2018,168,u,adult,f,2018
72408,1806,683091.7676,4516069.583,6/18/2018,169,u,adult,f,2018
72409,1806,683091.7676,4516069.583,6/15/2018,166,p,adult,f,2018
72409,1806,683091.7676,4516069.583,6/16/2018,167,p,adult,f,2018
72409,1806,683091.7676,4516069.583,6/19/2018,170,p,adult,f,2018
72411,1806,683091.7676,4516069.583,6/15/2018,166,u,adult,f,2018
72411,1806,683091.7676,4516069.583,6/16/2018,167,u,adult,f,2018
72411,1806,683091.7676,4516069.583,7/2/2019,183,l,adult,f,2019
72408,1807,682918.3822,4515694.383,6/14/2018,165,u,adult,f,2018
72400,1808,682979.2544,4515637.013,6/16/2018,167,p,adult,f,2018
72402,1808,682979.2544,4515637.013,6/15/2018,166,u,adult,f,2018
72406,1808,682979.2544,4515637.013,6/16/2018,167,p,adult,f,2018
72406,1808,682979.2544,4515637.013,6/16/2018,167,p,adult,f,2018
72408,1808,682979.2544,4515637.013,6/16/2018,167,u,adult,f,2018
72413,1808,682979.2544,4515637.013,6/16/2018,167,u,adult,f,2018
00034,1808,682979.2544,4515637.013,6/16/2018,167,u,adult,f,2018
72407,1809,683325.021,4514858.755,6/15/2018,166,p,adult,f,2018
72407,1810,683291.3209,4514923.572,6/14/2018,165,p,adult,f,2018
72409,1811,683434.7913,4515636.959,6/14/2018,165,p,adult,f,2018
72411,1812,683193.7722,4515848.16,6/14/2018,165,u,adult,f,2018
72406,1813,682815.4952,4515558.651,6/14/2018,165,p,adult,f,2018
72406,1814,683113.9113,4515539.812,6/15/2018,166,p,adult,f,2018
72413,1815,683378.1356,4515575.125,6/17/2018,168,u,adult,f,2018
00034,1816,683246.6058,4515501.55,6/17/2018,168,u,adult,f,2018
72413,1817,683341.8559,4515577.114,6/18/2018,169,u,adult,f,2018
00034,1818,683453.8283,4515437.922,6/18/2018,169,u,adult,f,2018
72407,1819,683459.2432,4514957.058,6/18/2018,169,p,adult,f,2018
72407,1819,683459.2432,4514957.058,6/19/2018,170,p,adult,f,2018
00034,1820,683200.9682,4515455.098,6/19/2018,170,u,adult,f,2018
00034,1820,683200.9682,4515455.098,6/20/2018,171,u,adult,f,2018
72413,1821,682998.0023,4516128.805,6/19/2018,170,u,adult,f,2018
72413,1821,682998.0023,4516128.805,6/20/2018,171,u,adult,f,2018
72400,1801,682820.1144,4515778.49,5/19/2018,139,p,adult,f,2018
72414,1901,683362.4519,4514974.099,5/20/2019,140,u,adult,f,2019
72414,1901,683362.4519,4514974.099,5/22/2019,142,u,adult,f,2019
72414,1901,683362.4519,4514974.099,5/23/2019,143,u,adult,f,2019
72418,1910,683422.9987,4515724.313,8/1/2019,213,nr,juvenile,m,2019
72418,1910,683422.9987,4515724.313,8/2/2019,214,nr,juvenile,m,2019
72414,1902,683982.4846,4514739.208,5/21/2019,141,u,adult,f,2019
72406,1903,683109.9421,4516010.825,6/22/2019,173,p,adult,f,2019
72406,1903,683109.9421,4516010.825,6/23/2019,174,p,adult,f,2019
72411,1904,683470.0579,4515726.924,6/25/2019,176,l,adult,f,2019
72411,1905,683346.8024,4515841.064,6/26/2019,177,l,adult,f,2019
72411,1905,683346.8024,4515841.064,6/28/2019,179,l,adult,f,2019
72411,1905,683346.8024,4515841.064,6/29/2019,180,l,adult,f,2019
72411,1905,683346.8024,4515841.064,6/30/2019,181,l,adult,f,2019
72411,1905,683346.8024,4515841.064,7/1/2019,182,l,adult,f,2019
72411,1905,683346.8024,4515841.064,7/3/2019,184,l,adult,f,2019
72411,1905,683346.8024,4515841.064,7/4/2019,185,l,adult,f,2019
72411,1906,683281.0407,4515734.348,6/27/2019,178,l,adult,f,2019
72418,1908,683464.682,4515753.006,7/30/2019,211,nr,juvenile,m,2019
72418,1909,683543.3672,4515733.518,7/31/2019,212,nr,juvenile,m,2019
