"","Tree","Uses","X","Y","Year","loguses"
"1","1801",2,682820.1144,4515778.49,2018,0.693147180559945
"2","1802",1,683615.6146,4515663.771,2018,0
"3","1803",1,683550.7197,4515590.289,2018,0
"4","1804",17,682881.7306,4515267.135,2018,2.83321334405622
"5","1805",2,683066.6131,4515785.805,2018,0.693147180559945
"6","1806",13,683091.7676,4516069.583,2018,2.56494935746154
"7","1806",13,683091.7676,4516069.583,2019,2.56494935746154
"8","1807",1,682918.3822,4515694.383,2018,0
"9","1808",7,682979.2544,4515637.013,2018,1.94591014905531
"10","1809",1,683325.021,4514858.755,2018,0
"11","1810",1,683291.3209,4514923.572,2018,0
"12","1811",1,683434.7913,4515636.959,2018,0
"13","1812",1,683193.7722,4515848.16,2018,0
"14","1813",1,682815.4952,4515558.651,2018,0
"15","1814",1,683113.9113,4515539.812,2018,0
"16","1815",1,683378.1356,4515575.125,2018,0
"17","1816",1,683246.6058,4515501.55,2018,0
"18","1817",1,683341.8559,4515577.114,2018,0
"19","1818",1,683453.8283,4515437.922,2018,0
"20","1819",2,683459.2432,4514957.058,2018,0.693147180559945
"21","1820",2,683200.9682,4515455.098,2018,0.693147180559945
"22","1821",2,682998.0023,4516128.805,2018,0.693147180559945
"23","1901",3,683362.4519,4514974.099,2019,1.09861228866811
"24","1902",1,683982.4846,4514739.208,2019,0
"25","1903",2,683109.9421,4516010.825,2019,0.693147180559945
"26","1904",1,683470.0579,4515726.924,2019,0
"27","1905",7,683346.8024,4515841.064,2019,1.94591014905531
"28","1906",1,683281.0407,4515734.348,2019,0
"29","1908",1,683464.682,4515753.006,2019,0
"30","1909",1,683543.3672,4515733.518,2019,0
"31","1910",2,683422.9987,4515724.313,2019,0.693147180559945
